Resource or Program Name,Record Type,Category,Provider Type,Town,ZIP Code,Address,Ages or Population Served,Contact Name,Phone or Contact,Website,License or Registry ID,Infant/Toddler Funded Spaces FY26,Preschool Funded Spaces FY26,School-Age Funded Spaces FY26,Total Funded Spaces FY26,Local Governance Partner,Local Partner Contact,Availability or Cost Notes,Source,Verified or Accessed,Verification Notes
The Little Log School House,Provider,Early Start CT funded child care,Child Care Center,Griswold,06351,"242 Bitgood rd, Griswold, CT, 06351",Infant/Toddler; Preschool,Terry Wydra,(860) 376-4975,,DCCC.70619; Registry 9583,2,12,0,14,Southeast CT LGP,Linda Allen | lallen@learn.k12.ct.us | 860-434-4800,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Tvcca Little Learners Griswold,Provider,Early Start CT funded child care,Child Care Center,Griswold,06351,"303 Slater Ave, Griswold, CT, 06351",Infant/Toddler; Preschool,Debbi Poirier,(860) 425-6566,,DCCC.12498; Registry 1179,8,20,0,28,Southeast CT LGP,Linda Allen | lallen@learn.k12.ct.us | 860-434-4800,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Early Childhood Development Center Groton,Provider,Early Start CT funded child care,Child Care Center,Groton,06340,"591 Poquonnock Rd, Groton, CT, 06340",Infant/Toddler; Preschool,Lynn Reichart,(860) 543-3101,,DCCC.15462; Registry 1601,6,29,0,35,Groton LGP,Linda Allen | lallen@learn.k12.ct.us | 860-434-4800,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
The Riverfront Childrens Center,Provider,Early Start CT funded child care,Child Care Center,Groton,06340,"476 Thames St, Groton, CT, 06340",Infant/Toddler; Preschool,Jennifer Zubek,(860) 445-8151,,DCCC.14300; Registry 1546,38,43,0,81,Groton LGP,Linda Allen | lallen@learn.k12.ct.us | 860-434-4800,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
TVCCA Little Learners/Head Start Groton,Provider,Early Start CT funded child care,Child Care Center,Groton,06340,"40 1/2 Central Ave, Groton, CT, 06340",Infant/Toddler; Preschool,Debbi Poirier,(860) 425-6566,,DCCC.16705; Registry 1978,16,20,0,36,Groton LGP,Linda Allen | lallen@learn.k12.ct.us | 860-434-4800,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Guilford Center for Children,Provider,Early Start CT funded child care,Child Care Center,Guilford,06437,"47 Stone House Ln, Guilford, CT, 06437",Preschool,Lisa Jones,(203) 453-8050,,DCCC.16778; Registry 6690,0,24,0,24,New London LGP,Kelly Davis | kdavis@learn.k12.ct.us | 860-434-4800 ext. 1128,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Building Blocks Early Learning Center – Hamden,Provider,Early Start CT funded child care,Child Care Center,Hamden,06517,"40 London Dr, Hamden, CT, 06517",Preschool,Shannon Cowles,(203) 281-6602,,DCCC.70601; Registry 9459,0,7,0,7,Hamden's Partnership for Young Children,Kerry Oberg | koberg@uwgnh.org | 203-691-4208,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Hamden BOE @ Ridge Hill School,Provider,Early Start CT funded child care,Public School,Hamden,06517,"120 Carew Rd, Hamden, CT, 06517",Preschool,Jessica Vega,(203) 407-2254,,EXEMPT; Registry 9707,0,12,0,12,Hamden's Partnership for Young Children,Kerry Oberg | koberg@uwgnh.org | 203-691-4208,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Hamden Boe At Alice Peck School,Provider,Early Start CT funded child care,Public School,Hamden,06518,"35 Hillfield Rd, Hamden, CT, 06518",Preschool,Jessica Vega,(203) 407-2254,,DCEX.80513; Registry 1800,0,20,0,20,Hamden's Partnership for Young Children,Kerry Oberg | koberg@uwgnh.org | 203-691-4208,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Hamden Boe At Church Street,Provider,Early Start CT funded child care,Public School,Hamden,06514,"95 Church St, Hamden, CT, 06514",Preschool,Jessica Vega,(203) 407-2254,,DCEX.80514; Registry 1667,0,34,0,34,Hamden's Partnership for Young Children,Kerry Oberg | koberg@uwgnh.org | 203-691-4208,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Hamden Boe At Dunbar Hill School,Provider,Early Start CT funded child care,Public School,Hamden,06514,"315 Lane St, Hamden, CT, 06514",Preschool,Jessica Vega,(203) 407-2254,,DCEX.80512; Registry 8113,0,12,0,12,Hamden's Partnership for Young Children,Kerry Oberg | koberg@uwgnh.org | 203-691-4208,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Hamden Boe At Helen Street School,Provider,Early Start CT funded child care,Public School,Hamden,06514,"285 Helen St, Hamden, CT, 06514",Preschool,Jessica Vega,(203) 407-2254,,DCEX.80515; Registry 1954,0,20,0,20,Hamden's Partnership for Young Children,Kerry Oberg | koberg@uwgnh.org | 203-691-4208,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Hamden BOE at West Woods School,Provider,Early Start CT funded child care,Public School,Hamden,06518,"350 West Todd Street, Hamden, CT, 06518",Preschool,Jessica Vega,(203) 407-2254,,EXEMPT; Registry 12190,0,8,0,8,Hamden's Partnership for Young Children,Kerry Oberg | koberg@uwgnh.org | 203-691-4208,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Harris And Tucker School - Center,Provider,Early Start CT funded child care,Child Care Center,Hamden,06511,"412 NEWHALL ST, Hamden, CT, 06511",Infant/Toddler; Preschool; School age,TBD,N/A,,DCCC.13170; Registry 2425,7,15,20,42,Hamden's Partnership for Young Children,Kerry Oberg | koberg@uwgnh.org | 203-691-4208,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Lushanna Thompson Family Child Care Home (Every Child Ahead LLC) (FCCH),Provider,Early Start CT funded child care,Family Home,Hamden,06514,"142 West Side Drive, Hamden, CT, 06514",Infant/Toddler,Georgia Goldburn,(860) 913-4906,,DCFH.54148; Registry 5328,6,0,0,6,Hamden's Partnership for Young Children,Kerry Oberg | koberg@uwgnh.org | 203-691-4208,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Odessa Snowden Family Child Care Home (Noah’s Ark Daycare) (FCCH),Provider,Early Start CT funded child care,Family Home,Hamden,06514,"206 Lane Street, Hamden, CT, 06514",Infant/Toddler; Preschool,Georgia Goldburn,(860) 913-4906,,DCFH.54714; Registry 5639,2,3,0,5,Hamden's Partnership for Young Children,Kerry Oberg | koberg@uwgnh.org | 203-691-4208,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Sleeping Giant Day Care,Provider,Early Start CT funded child care,Child Care Center,Hamden,06514,"11 Pine St, Hamden, CT, 06514",Preschool,Edie Reichard,(203) 776-5026,,DCCC.13366; Registry 863,0,30,0,30,Hamden's Partnership for Young Children,Kerry Oberg | koberg@uwgnh.org | 203-691-4208,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
The Learning Curve Daycare Center,Provider,Early Start CT funded child care,Child Care Center,Hamden,06514,"60 Connolly Pkwy, Building 18, Hamden, CT, 06514",Infant/Toddler; Preschool; School age,Nadiha Lindsay,(203) 296-3440,,DCCC.70477; Registry 8615,24,9,1,34,Hamden's Partnership for Young Children,Kerry Oberg | koberg@uwgnh.org | 203-691-4208,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Hampton Boe At Hampton Elementary School,Provider,Early Start CT funded child care,Public School,Hampton,06247,"380 Main St, Hampton, CT, 06247",Preschool,Victoria Smith,(860) 455-9409,,EXEMPT; Registry 1662,0,13,0,13,Eastern CT LGP,Maggie Francis-Gietzen | mfrancisgietzen@ec.eastconn.org | 860-455-1532,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Affordable Child Care Learning Center,Provider,Early Start CT funded child care,Child Care Center,Hartford,06120,"255 Arbour St, Hartford, CT, 06120",Infant/Toddler; Preschool,Nicole Perry,(860) 967-1802,,DCCC.70419; Registry 8330,37,22,0,59,Hartford LGP,Tamika Thurston | tamika.thurston@hartford.gov | 860-757-9898,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Boys and Girls Club of Hartford Early Learning Center,Provider,Early Start CT funded child care,Child Care Center,Hartford,06105,"170 Sigourney St, Hartford, CT, 06105",Preschool,Candalyn Sanders,(860) 929-7675,,DCCC.70157; Registry 6407,0,50,0,50,Hartford LGP,Tamika Thurston | tamika.thurston@hartford.gov | 860-757-9898,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Brunilda Mora Family Child Care,Provider,Early Start CT funded child care,Family Home,Hartford,06114,"140 Cheshire Street, Hartford, CT, 06114",Infant/Toddler,Arunan Arulampalam,(860) 757-9595,,DCFH.57709; Registry 9869,4,0,0,4,Hartford LGP,Tamika Thurston | tamika.thurston@hartford.gov | 860-757-9898,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
"Capitol Child Development Center, Inc.",Provider,Early Start CT funded child care,Child Care Center,Hartford,06106,"450 Broad St, Hartford, CT, 06106",Infant/Toddler; Preschool,Latrice Grumley,(860) 240-0330,,DCCC.13081; Registry 1817,16,10,0,26,Hartford LGP,Tamika Thurston | tamika.thurston@hartford.gov | 860-757-9898,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Carmen Martinez Family Child Care (Nani’s Home Daycare),Provider,Early Start CT funded child care,Family Home,Hartford,06114,"172 George Street, 1st Floor, Hartford, CT, 06114",Infant/Toddler; Preschool,Arunan Arulampalam,(860) 757-9595,,DCFH.56116; Registry 6330,4,2,0,6,Hartford LGP,Tamika Thurston | tamika.thurston@hartford.gov | 860-757-9898,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Catholic Charities Child Development Center,Provider,Early Start CT funded child care,Child Care Center,Hartford,06106,"53 Wadsworth St, Hartford, CT, 06106",Preschool,Olga Toledo,(860) 524-6853,,DCCC.70377; Registry 8168,0,20,0,20,Hartford LGP,Tamika Thurston | tamika.thurston@hartford.gov | 860-757-9898,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
CREC South,Provider,Early Start CT funded child care,Child Care Center,Hartford,06114,"261 Locust St, Hartford, CT, 06114",,Jennie Shea,(860) 293-6735,,DCCC.70735; Registry 9371,0,0,0,0,Hartford LGP,Tamika Thurston | tamika.thurston@hartford.gov | 860-757-9898,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
CRT - Job Corps Academy Child Development Center,Provider,Early Start CT funded child care,Child Care Center,Hartford,06106,"100 William Shorty Campbell St, Hartford, CT, 06106",Infant/Toddler; Preschool,Claudine Bernard,(860) 462-9482,,DCCC.16185; Registry 1444,32,20,0,52,Hartford LGP,Tamika Thurston | tamika.thurston@hartford.gov | 860-757-9898,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Douglas Street Early Care & Education -Community Renewal Team (CRT),Provider,Early Start CT funded child care,Child Care Center,Hartford,06114,"170 Douglas St, Hartford, CT, 06114",Infant/Toddler; Preschool,Claudine Bernard,(860) 462-9482,,DCCC.15111; Registry 1449,16,43,0,59,Hartford LGP,Tamika Thurston | tamika.thurston@hartford.gov | 860-757-9898,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Esther Vicenty Family Child Care Home,Provider,Early Start CT funded child care,Family Home,Hartford,06112,"240 Granby st, Hartford, CT, 06112",Infant/Toddler; Preschool,Esther Vicenty,(860) 502-2439,,DCFH.57902; Registry 11991,1,1,0,2,Hartford LGP,Tamika Thurston | tamika.thurston@hartford.gov | 860-757-9898,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Fun Place Education LLC,Provider,Early Start CT funded child care,Group Home,Hartford,06114,"154 Standish Street, Hartford, CT, 06114",Infant/Toddler; Preschool,Jacqueline Torres,(860) 995-0553,,DCGH.80027; Registry 9985,8,4,0,12,Hartford LGP,Tamika Thurston | tamika.thurston@hartford.gov | 860-757-9898,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Happy Little Faces,Provider,Early Start CT funded child care,Child Care Center,Hartford,06106,"75 Zion Street, Hartford, CT, 06106",Infant/Toddler,Martha Ramirez,(860) 929-2940,,DCCC.70663; Registry 9859,24,0,0,24,Hartford LGP,Tamika Thurston | tamika.thurston@hartford.gov | 860-757-9898,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Hartford Boe At Kennelly School,Provider,Early Start CT funded child care,Public School,Hartford,06106,"180 White St, Hartford, CT, 06106",Preschool,Stacey Youmatz,(860) 695-8636,,EXEMPT; Registry 1811,0,29,0,29,Hartford LGP,Tamika Thurston | tamika.thurston@hartford.gov | 860-757-9898,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Hartford Boe At Maria C. Sanchez School,Provider,Early Start CT funded child care,Public School,Hartford,06106,"176 Babcock St, Hartford, CT, 06106",Preschool,Stacey Youmatz,(860) 695-8636,,EXEMPT; Registry 1478,0,27,0,27,Hartford LGP,Tamika Thurston | tamika.thurston@hartford.gov | 860-757-9898,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Hartford Boe At Md Fox School,Provider,Early Start CT funded child care,Public School,Hartford,06114,"470 Maple Ave, Hartford, CT, 06114",Preschool,Stacey Youmatz,(860) 695-8636,,EXEMPT; Registry 1389,0,34,0,34,Hartford LGP,Tamika Thurston | tamika.thurston@hartford.gov | 860-757-9898,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Hartford Boe At Moylan School,Provider,Early Start CT funded child care,Public School,Hartford,06106,"101 Catherine St, Hartford, CT, 06106",Preschool,Stacey Youmatz,(860) 695-8636,,EXEMPT; Registry 1858,0,29,0,29,Hartford LGP,Tamika Thurston | tamika.thurston@hartford.gov | 860-757-9898,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Hartford Boe At Naylor School,Provider,Early Start CT funded child care,Public School,Hartford,06114,"639 Franklin Ave, Hartford, CT, 06114",Preschool,Stacey Youmatz,(860) 695-8636,,EXEMPT; Registry 1853,0,37,0,37,Hartford LGP,Tamika Thurston | tamika.thurston@hartford.gov | 860-757-9898,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Hartford Boe At Parkville Community School,Provider,Early Start CT funded child care,Public School,Hartford,06106,"47 New Park Ave, Hartford, CT, 06106",Preschool,Stacey Youmatz,(860) 695-8636,,EXEMPT; Registry 1482,0,27,0,27,Hartford LGP,Tamika Thurston | tamika.thurston@hartford.gov | 860-757-9898,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Hartford Boe At Rawson School,Provider,Early Start CT funded child care,Public School,Hartford,06112,"260 Holcomb St, Hartford, CT, 06112",Preschool,Stacey Youmatz,(860) 695-8636,,EXEMPT; Registry 1439,0,25,0,25,Hartford LGP,Tamika Thurston | tamika.thurston@hartford.gov | 860-757-9898,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Hartford Boe At Sand School,Provider,Early Start CT funded child care,Public School,Hartford,06120,"1750 Main St, Hartford, CT, 06120",Preschool,Stacey Youmatz,(860) 695-8636,,EXEMPT; Registry 8704,0,26,0,26,Hartford LGP,Tamika Thurston | tamika.thurston@hartford.gov | 860-757-9898,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Hartford Boe At West Middle School,Provider,Early Start CT funded child care,Public School,Hartford,06105,"44 Niles St, Hartford, CT, 06105",Preschool,Stacey Youmatz,(860) 695-8636,,EXEMPT; Registry 1856,0,24,0,24,Hartford LGP,Tamika Thurston | tamika.thurston@hartford.gov | 860-757-9898,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Hartford Boe At Wish School,Provider,Early Start CT funded child care,Public School,Hartford,06120,"350 Barbour St, Hartford, CT, 06120",Preschool,Stacey Youmatz,(860) 695-8636,,EXEMPT; Registry 1857,0,22,0,22,Hartford LGP,Tamika Thurston | tamika.thurston@hartford.gov | 860-757-9898,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Hartford Neighborhood Ctrs,Provider,Early Start CT funded child care,Child Care Center,Hartford,06106,"38 Lawrence St, Hartford, CT, 06106",Infant/Toddler; Preschool,Kristin Berry,(860) 251-6517,,DCCC.16820; Registry 403,8,20,0,28,Hartford LGP,Tamika Thurston | tamika.thurston@hartford.gov | 860-757-9898,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Hyland Early Learning Center (DFCYR),Provider,Early Start CT funded child care,Child Care Center,Hartford,06106,"355 New Britain Ave F/1, Hartford, CT, 06106",Infant/Toddler; Preschool,Jennifer Baglin,(860) 214-6277,,DCCC.12138; Registry 541,4,26,0,30,Hartford LGP,Tamika Thurston | tamika.thurston@hartford.gov | 860-757-9898,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Ingmar Riveros Family Child Care Home (Liv Daycare),Provider,Early Start CT funded child care,Family Home,Hartford,06114,"114 Babcock Street, Floor 2, Hartford, CT, 06114",Infant/Toddler,Arunan Arulampalam,(860) 757-9595,,DCFH.57715; Registry 9860,5,0,0,5,Hartford LGP,Tamika Thurston | tamika.thurston@hartford.gov | 860-757-9898,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Irma Santome Family Child Care Home,Provider,Early Start CT funded child care,Family Home,Hartford,06106,"32 Merrill Street, Hartford, CT, 06106",Infant/Toddler; Preschool; School age,Irma Santome,(860) 655-2492,,DCFH.56434; Registry 7479,7,1,1,9,Hartford LGP,Tamika Thurston | tamika.thurston@hartford.gov | 860-757-9898,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Jacqueline Torres Family Child Care Home (Kiddie City LLC),Provider,Early Start CT funded child care,Family Home,Hartford,06114,"156 Standish Street, Hartford, CT, 06114",Infant/Toddler,Arunan Arulampalam,(860) 757-9595,,DCFH.56690; Registry 7624,4,0,0,4,Hartford LGP,Tamika Thurston | tamika.thurston@hartford.gov | 860-757-9898,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Jenny Serrata Family Child Care Home (Querubines Home Daycare),Provider,Early Start CT funded child care,Family Home,Hartford,06114,"160 Hubbard Road, Hartford, CT, 06114",Infant/Toddler,Arunan Arulampalam,(860) 757-9595,,DCFH.53284; Registry 1884,6,0,0,6,Hartford LGP,Tamika Thurston | tamika.thurston@hartford.gov | 860-757-9898,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Kings Chapel Early Care & Education Ctr,Provider,Early Start CT funded child care,Child Care Center,Hartford,06112,"400 Woodland St, Hartford, CT, 06112",Infant/Toddler; Preschool,Terry Graham,(860) 560-0387,,DCCC.70024; Registry 6214,32,20,0,52,Hartford LGP,Tamika Thurston | tamika.thurston@hartford.gov | 860-757-9898,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Little Angels Workshop,Provider,Early Start CT funded child care,Child Care Center,Hartford,06106,"711 New Britain Avenue, Hartford, CT, 06106",Infant/Toddler,Jenessa Blake-Wallace,(860) 436-0486,,DCCC.70609; Registry 9468,15,0,0,15,Hartford LGP,Tamika Thurston | tamika.thurston@hartford.gov | 860-757-9898,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Lucia Silva Family Child Care Home (Lucia Silva Centro Infantil San Jose LLC),Provider,Early Start CT funded child care,Family Home,Hartford,06114,"50 Kenneth Street, Floor 2, Hartford, CT, 06114",Infant/Toddler,Arunan Arulampalam,(860) 757-9595,,DCFH.56164; Registry 6625,5,0,0,5,Hartford LGP,Tamika Thurston | tamika.thurston@hartford.gov | 860-757-9898,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Luz Rivera Family Day Care,Provider,Early Start CT funded child care,Family Home,Hartford,06114,"424 Campfield Avenue, Hartford, CT, 06114",Infant/Toddler,Arunan Arulampalam,(860) 757-9595,,DCFH.50760; Registry 4533,5,0,0,5,Hartford LGP,Tamika Thurston | tamika.thurston@hartford.gov | 860-757-9898,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Maria Amado-Lastra Family Child Care Home (Green World Family Child Care Home),Provider,Early Start CT funded child care,Family Home,Hartford,06114,"110 Grandview Terrace, 1st Floor, Hartford, CT, 06114",Infant/Toddler,Arunan Arulampalam,(860) 757-9595,,DCFH.56808; Registry 7986,6,0,0,6,Hartford LGP,Tamika Thurston | tamika.thurston@hartford.gov | 860-757-9898,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
Metzner Early Learning Center (DFCYR),Provider,Early Start CT funded child care,Child Care Center,Hartford,06114,"680 Franklin Ave, Hartford, CT, 06114",Infant/Toddler; Preschool,Jennifer Baglin,(860) 214-6277,,DCCC.16792; Registry 6148,5,25,0,30,Hartford LGP,Tamika Thurston | tamika.thurston@hartford.gov | 860-757-9898,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
My First Steps Group Childcare,Provider,Early Start CT funded child care,Group Home,Hartford,06106,"138 Bonner Street, Hartford, CT, 06106",Infant/Toddler; Preschool,Virginia Medina,(959) 221-9401,,DCGH.80014; Registry 8195,8,4,0,12,Hartford LGP,Tamika Thurston | tamika.thurston@hartford.gov | 860-757-9898,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
New Beginnings Early Learning Center,Provider,Early Start CT funded child care,Child Care Center,Hartford,06105,"70 Forest St, Hartford, CT, 06105",Infant/Toddler; Preschool,Dorothy Minnifield,(860) 597-1573,,DCCC.70220; Registry 7440,32,27,0,59,Hartford LGP,Tamika Thurston | tamika.thurston@hartford.gov | 860-757-9898,"Contact the program directly for current openings, schedule, eligibility, and family cost.",Connecticut Office of Early Childhood Early Start CT FY26 map,2026-08-25,Official state-funded provider record. Funded-space counts are not the same as current openings.
